Title,Price,Reviews,Total Reviews,Image
"('50 Inch 4K UHD Smart LED TV - Black - UA50DU7000UXEG [2024 Model]',)","16,799","('4.0 out of 5',)","('12',)","('https://m.media-amazon.com/images/G/42/UAE-hq/2023/img/Prime/XCM_Manual_1544175_5396723_1500x300_2X._CB593029270_.jpg',)"
"('Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy - 1 year Warranty',)","17,999","('4.0 out of 5',)","('129',)","('https://m.media-amazon.com/images/I/61aLpgXQTVL._AC_UL320_.jpg',)"
"('Galaxy A15 Dual SIM 6GB Ram+128GB ROM (6.5 Inches) (4G LTE) - (Light Blue)',)","6,649","('4.0 out of 5',)","('880',)","('https://m.media-amazon.com/images/I/61ERH+yIyiL._AC_UL320_.jpg',)"
"('Galaxy A05 LTE, Android Smartphone, Dual SIM, 6GB RAM, 128GB Storage, Black - 1 year Warranty',)","6,400","('4.0 out of 5',)","('34',)","('https://m.media-amazon.com/images/I/61cl1NEIrdL._AC_UL320_.jpg',)"
"('Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy',)","14,399","('3.8 out of 5',)","('54',)","('https://m.media-amazon.com/images/I/61xn0PNMjIL._AC_UL320_.jpg',)"
"('55 Inch TV Crystal Processor 4K LED with Built-in Receiver - Black - UA55CU8000UXEG [2023 Model]',)","18,299","('4.0 out of 5',)","('310',)","('https://m.media-amazon.com/images/I/61Dz4UF90XL._AC_UL320_.jpg',)"
"('Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Black',)","5,699","('3.8 out of 5',)","('51',)","('https://m.media-amazon.com/images/I/61tIUqwUlCL._AC_UL320_.jpg',)"
"('60 Inch 4K UHD Smart LED TV - Black - UA60DU7000UXEG [2024 Model]',)","18,999","('4.0 out of 5',)","('129',)","('https://m.media-amazon.com/images/I/71dYQdmhwFL._AC_UL320_.jpg',)"
"('Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Lemon - 1 year Warranty',)","17,999","('4.1 out of 5',)","('40',)","('https://m.media-amazon.com/images/I/61aLpgXQTVL._AC_UL320_.jpg',)"
"('A25 8-256 Light Blue',)","10,499","('3.8 out of 5',)","('880',)","('https://m.media-amazon.com/images/I/71Azxw1VWeL._AC_UL320_.jpg',)"
"('Galaxy A15 Dual SIM 8GB Ram+256GGB ROM (6.5 Inches) (4G LTE) - (Light Blue)',)","8,199","('3.9 out of 5',)","('50',)","('https://m.media-amazon.com/images/I/614qsXB-XUL._AC_UL320_.jpg',)"
"('WASHING MACHINE 9KG 1400RPM DIGITAL INVERTER STEAM INOX WW90T4040CX1AS- (local warranty)',)","20,899","('4.0 out of 5',)","('12',)","('https://m.media-amazon.com/images/I/51Cida8RecL._AC_UL320_.jpg',)"
"('55 Inch 4K UHD Smart LED TV - Black - UA55DU7000UXEG [2024 Model]',)","17,999","('3.8 out of 5',)","('42',)","('https://m.media-amazon.com/images/I/51H0kUL24XL._AC_UL320_.jpg',)"
"('A04S 3GB Ram, 32GB - Black',)","7,499","('4.0 out of 5',)","('57',)","('https://m.media-amazon.com/images/I/61aLpgXQTVL._AC_UL320_.jpg',)"
"('Galaxy M33, Dual SIM, 8GB RAM, 128GB Storage, 5G, Brown - 1 year Warranty',)","5,945","('4.1 out of 5',)","('255',)","('https://m.media-amazon.com/images/I/51P4huodC+L._AC_UL320_.jpg',)"
